109,108,180,649,133,86,211,326,7
103,102,198,743,148,79,232,293,7
78,93,189,654,148,68,222,214,7
81,88,188,754,148,60,208,232,7
82,75,159,701,132,50,164,206,7
79,70,159,716,133,46,168,201,7
85,71,150,707,136,47,142,306,7
94,80,142,717,132,49,146,317,7
87,77,135,613,126,58,238,306,7
79,72,131,545,116,62,246,293,7
114,81,117,474,105,68,239,330,7
122,69,82,330,67,65,248,249,7
121,56,63,249,49,71,250,240,7
122,55,63,209,53,70,179,226,7
137,57,64,183,50,65,167,248,7
133,66,81,241,68,58,167,226,7
122,76,90,289,90,59,160,206,7
121,80,118,419,110,51,159,205,7
124,81,130,476,120,41,145,211,7
120,81,133,485,118,44,144,218,7
94,73,143,509,116,41,128,190,7
91,61,148,550,108,41,100,204,7
88,61,155,550,107,42,85,207,7
78,64,169,610,104,42,78,239,7
74,65,169,620,108,44,98,221,7
74,71,201,759,148,46,103,217,7
74,78,226,856,161,48,103,217,7
73,84,239,895,177,50,123,255,7
73,93,249,924,194,51,140,222,7
53,94,256,993,207,53,141,235,7
85,93,233,953,198,54,154,303,7
93,88,205,850,187,55,185,345,7
119,78,170,770,164,51,177,315,7
158,69,130,650,136,63,182,343,7
172,62,111,511,115,63,173,336,7
158,47,73,305,67,62,189,287,7
153,43,56,212,54,57,158,224,7
138,44,48,127,47,62,154,219,7
97,37,39,101,42,50,142,222,7
75,41,38,157,38,44,155,216,7
71,41,47,233,55,42,136,204,7
75,43,53,275,61,44,136,207,7
77,44,65,377,74,40,143,242,7
72,49,114,503,103,43,151,200,7
65,51,125,598,117,42,143,198,7
73,53,135,660,122,44,131,196,7
89,58,164,736,152,53,169,261,7
85,66,189,892,181,53,166,241,7
80,66,179,907,175,51,163,228,7
84,63,177,876,169,52,156,267,7
80,80,192,920,172,59,182,272,7
68,82,188,930,157,52,159,215,7
68,84,180,822,142,51,165,244,7
70,84,178,799,148,53,156,276,7
78,88,173,769,144,57,196,242,7
76,74,148,650,132,50,184,237,7
92,82,126,540,120,60,210,245,7
107,80,100,414,92,71,231,254,7
117,78,76,271,64,77,244,223,7
111,72,72,236,63,75,222,225,7
114,69,66,190,61,76,214,249,7
101,56,59,171,59,74,202,287,7
