((696, 280, -413), (2117, 1, 141), 1.174120828181737, 1.4533866265328215, -1.2708699777130699, (4604, 10843, -3262, 10908))
((1259, 461, -449), (2094, 65, 133), 1.1491191338559321, 1.4428748687022197, -1.3246096053380585, (4514, 10861, -3048, 10990))
((1636, 519, -564), (2079, 169, 107), 1.145503617175234, 1.4276268420805118, -1.3650487977165862, (4402, 10896, -2760, 11077))
((1680, 493, -643), (2001, 357, 69), 1.156425508013938, 1.409924263621858, -1.3902044848842725, (4295, 10935, -2456, 11151))
((1462, 405, -661), (1991, 552, 167), 1.1784688361994402, 1.3913360960236076, -1.4016873909683367, (4225, 10972, -2164, 11203))
((1235, 423, -673), (2019, 509, 267), 1.1857447822751512, 1.3719750285554722, -1.4208940535516055, (4179, 10985, -1902, 11254))
((1146, 430, -684), (1963, 520, 426), 1.1845063379865406, 1.3525819851875756, -1.4478664611038254, (4148, 10980, -1649, 11311))
((1144, 391, -758), (1965, 527, 482), 1.1888091166051693, 1.3315880718445512, -1.4679632857062115, (4123, 10975, -1390, 11359))
((1102, 423, -754), (2059, 613, 553), 1.189176652304365, 1.3104779171083476, -1.4918761300851715, (4104, 10958, -1134, 11411))
((981, 538, -783), (2103, 718, 687), 1.1778776981226855, 1.2866205218350542, -1.5244022432957027, (4109, 10911, -881, 11476))
((798, 630, -762), (2012, 626, 569), 1.1638917175054821, 1.2641633109658579, -1.55621517103514, (4125, 10852, -658, 11541))
((646, 688, -694), (1980, 734, 588), 1.145460692408327, 1.2414959707866111, -1.5893385691289164, (4154, 10776, -454, 11611))
((446, 711, -620), (2038, 707, 539), 1.1250713064201607, 1.2215657047865427, -1.6211658360083816, (4190, 10693, -289, 11681))
((338, 790, -550), (2073, 650, 388), 1.1032367188341556, 1.2034685077269447, -1.6516800865042967, (4220, 10606, -150, 11751))
((267, 799, -524), (1962, 613, 307), 1.0835220572164581, 1.1864834065090444, -1.679358126009404, (4251, 10520, -24, 11818))
((126, 760, -466), (1900, 590, 250), 1.0650557875648012, 1.1716945810293524, -1.703032717036868, (4287, 10438, 73, 11878))
((68, 707, -390), (1919, 648, 180), 1.0500155817575012, 1.1586799041218794, -1.7217911301680355, (4320, 10366, 154, 11928))
((-57, 656, -353), (1920, 568, 215), 1.0327298040735744, 1.1475749001114977, -1.7395383971869804, (4357, 10293, 205, 11976))
((61, 649, -336), (1908, 526, 206), 1.0187854705242234, 1.137557409127183, -1.757083139741798, (4376, 10228, 266, 12024))
((140, 610, -299), (1794, 558, 241), 1.0078868617959107, 1.127703179029386, -1.773103297679554, (4385, 10169, 336, 12069))
((204, 478, -278), (1723, 574, 144), 1.0059135079249986, 1.1199789608128727, -1.7813184914050821, (4384, 10137, 408, 12094))
((192, 374, -226), (1756, 587, 145), 1.0065003866970836, 1.1143999928981225, -1.7864839981045366, (4378, 10118, 468, 12110))
((153, 283, -176), (1722, 631, 206), 1.007942695433351, 1.1102343397233527, -1.7895860096942233, (4373, 10106, 515, 12120))
((83, 176, -115), (1676, 635, 244), 1.0091874847350681, 1.107673859752349, -1.7907038608543395, (4370, 10100, 543, 12124))
((107, 50, -17), (1634, 636, 250), 1.01347665603083, 1.1084820061135574, -1.789585578739432, (4354, 10112, 558, 12120))
((118, -72, 85), (1654, 610, 207), 1.0206862292708474, 1.1128904095335435, -1.7852776198214009, (4321, 10144, 556, 12105))
((124, -164, 159), (1644, 705, 229), 1.0304735716348477, 1.1185577457763054, -1.7783782955374778, (4285, 10186, 549, 12083))
((0, -268, 233), (1642, 713, 226), 1.0399366579163112, 1.1264853779505355, -1.768832667868019, (4254, 10235, 514, 12054))
((-135, -331, 315), (1668, 667, 272), 1.0455124418917847, 1.1366466929678127, -1.7598837051218599, (4227, 10282, 446, 12026))
((-115, -396, 389), (1712, 591, 273), 1.0518740381233558, 1.1494109390045728, -1.750333257515707, (4185, 10338, 365, 11995))
((-46, -449, 453), (1719, 616, 298), 1.0603579545479533, 1.1635362310867357, -1.7401613990267024, (4129, 10401, 285, 11962))
((77, -492, 498), (1745, 663, 268), 1.0744717407456157, 1.17848506443508, -1.7271960962245196, (4057, 10476, 218, 11923))
((19, -545, 545), (1771, 661, 211), 1.0908019950102934, 1.1947587473524206, -1.7106061902181557, (3985, 10557, 137, 11877))
((-49, -548, 581), (1872, 656, 266), 1.1042730791485316, 1.211380321300424, -1.6951669228189308, (3917, 10630, 42, 11835))
((-99, -550, 604), (1918, 612, 329), 1.1143324705321536, 1.2283601298529603, -1.6821190659470593, (3851, 10694, -64, 11799))
((-19, -551, 581), (1916, 577, 332), 1.1270985999433398, 1.2446957242889385, -1.6676421486287338, (3778, 10759, -158, 11762))
((-17, -547, 555), (1929, 542, 338), 1.1408202471209916, 1.2605592617582706, -1.652587252872207, (3708, 10821, -249, 11726))
((56, -523, 525), (1972, 549, 298), 1.1587352632248786, 1.2756939750456582, -1.6354366282493147, (3634, 10885, -325, 11689))
((98, -502, 506), (1978, 528, 284), 1.177752244677417, 1.2896502332220767, -1.6172751182391463, (3557, 10946, -392, 11653))
((112, -443, 460), (2027, 583, 320), 1.1946890530150214, 1.30152255661685, -1.602213935821419, (3489, 10996, -445, 11625))
((11, -384, 401), (2008, 577, 319), 1.2079061909420663, 1.3110495361798906, -1.5880067330765992, (3442, 11034, -500, 11600))
((-76, -348, 340), (2009, 550, 343), 1.2168800850418569, 1.3191635928638104, -1.5764944102387215, (3413, 11061, -558, 11580))
((-119, -332, 266), (2032, 531, 399), 1.2240327733483491, 1.3255842978308405, -1.565810997927423, (3400, 11081, -613, 11562))
