(32, 69, 196, 697, 427, 55, 33, 46)
(39, 76, 198, 726, 411, 65, 36, 39)
(43, 82, 223, 796, 457, 71, 42, 40)
(47, 85, 216, 757, 383, 71, 42, 39)
(48, 76, 208, 736, 394, 75, 46, 41)
(46, 73, 203, 741, 404, 72, 47, 41)
(58, 98, 260, 734, 456, 69, 56, 50)
(57, 97, 252, 674, 399, 62, 52, 48)
(57, 101, 265, 671, 410, 66, 52, 48)
(57, 104, 259, 700, 393, 72, 52, 48)
(60, 109, 264, 686, 374, 81, 54, 50)
(44, 78, 208, 661, 290, 81, 41, 36)
(42, 75, 198, 630, 305, 84, 39, 35)
(42, 75, 179, 671, 311, 86, 40, 36)
(47, 79, 189, 651, 323, 78, 39, 39)
(49, 83, 191, 688, 334, 69, 35, 38)
(50, 93, 203, 716, 345, 60, 35, 39)
(53, 94, 191, 688, 316, 55, 35, 38)
(52, 94, 204, 683, 287, 44, 33, 37)
(48, 95, 197, 647, 263, 43, 30, 34)
(43, 90, 183, 566, 219, 40, 29, 32)
(39, 79, 149, 492, 172, 38, 28, 30)
(37, 77, 144, 513, 157, 35, 26, 31)
(33, 66, 107, 398, 129, 31, 27, 30)
(35, 56, 87, 347, 111, 33, 26, 28)
(36, 50, 85, 303, 102, 37, 26, 28)
(48, 50, 86, 288, 99, 41, 28, 38)
(70, 45, 80, 214, 90, 50, 33, 38)
(75, 47, 76, 149, 73, 57, 37, 41)
(83, 43, 65, 123, 67, 62, 44, 47)
(96, 44, 55, 116, 63, 73, 65, 57)
(115, 49, 52, 106, 57, 82, 70, 57)
(114, 53, 53, 92, 74, 80, 80, 67)
(118, 57, 82, 85, 111, 78, 78, 68)
(115, 64, 95, 88, 154, 94, 83, 65)
(109, 63, 97, 81, 183, 86, 70, 70)
(100, 59, 96, 79, 219, 92, 68, 70)
(102, 75, 131, 81, 267, 129, 69, 64)
(95, 75, 130, 89, 310, 147, 71, 61)
(91, 71, 130, 98, 376, 148, 64, 61)
(102, 75, 137, 108, 461, 190, 79, 54)
(89, 77, 144, 159, 570, 208, 79, 54)
(76, 74, 162, 235, 643, 202, 72, 52)
(84, 90, 217, 403, 664, 230, 86, 59)
(85, 102, 249, 548, 724, 245, 94, 61)
(70, 109, 250, 633, 716, 220, 80, 55)
(66, 111, 257, 786, 682, 206, 81, 53)
(70, 123, 266, 832, 628, 206, 85, 58)
(66, 126, 260, 882, 619, 161, 74, 55)
(66, 126, 250, 855, 676, 150, 72, 55)
(60, 121, 256, 854, 676, 147, 74, 54)
(59, 119, 249, 785, 638, 136, 71, 52)
(53, 104, 237, 840, 620, 140, 68, 50)
(52, 95, 208, 871, 633, 145, 76, 50)
(58, 101, 235, 1013, 553, 134, 95, 57)
(59, 101, 239, 1053, 545, 144, 95, 57)
(66, 113, 283, 1090, 584, 152, 99, 62)
(64, 116, 277, 1106, 602, 135, 96, 59)
(66, 119, 311, 1151, 655, 136, 88, 56)
(77, 150, 335, 1223, 622, 128, 67, 61)
(85, 161, 340, 1205, 679, 135, 76, 70)
(85, 160, 334, 1242, 671, 139, 76, 70)
(92, 174, 361, 1226, 676, 146, 86, 74)
(92, 177, 360, 1227, 641, 163, 91, 76)
(83, 153, 342, 1055, 648, 178, 92, 72)
(78, 145, 340, 1072, 612, 167, 83, 64)
(82, 153, 337, 1016, 615, 160, 87, 66)
(81, 150, 325, 1064, 638, 157, 84, 67)
(78, 146, 291, 955, 597, 135, 81, 68)
(73, 131, 247, 899, 533, 111, 72, 61)
(69, 128, 233, 836, 464, 110, 73, 62)
(61, 118, 208, 845, 418, 101, 65, 58)
(55, 101, 161, 686, 342, 91, 56, 51)
(53, 94, 162, 617, 293, 81, 48, 44)
(53, 95, 157, 615, 273, 71, 42, 42)
(58, 92, 152, 576, 244, 56, 38, 41)
(55, 80, 123, 425, 184, 49, 30, 34)
(55, 72, 124, 400, 134, 45, 27, 30)
(52, 65, 109, 368, 131, 49, 32, 30)
(53, 62, 107, 335, 132, 49, 32, 30)
(49, 60, 107, 326, 127, 47, 32, 28)
(64, 60, 113, 275, 119, 51, 32, 29)
(64, 54, 94, 237, 109, 50, 30, 27)
(66, 56, 109, 201, 89, 50, 25, 28)
(63, 54, 109, 170, 81, 50, 27, 27)
(59, 53, 102, 120, 61, 57, 59, 28)
(39, 48, 98, 108, 59, 73, 66, 33)
(51, 52, 108, 100, 55, 94, 96, 69)
(51, 44, 83, 87, 51, 113, 107, 68)
(67, 50, 80, 85, 46, 119, 114, 71)
(69, 50, 87, 85, 46, 125, 107, 73)
(84, 53, 88, 86, 41, 127, 106, 79)
(86, 50, 75, 79, 37, 116, 79, 60)
(89, 50, 72, 81, 53, 106, 79, 65)
(84, 45, 75, 74, 97, 107, 83, 77)
(96, 54, 111, 82, 108, 109, 83, 80)
(118, 61, 118, 82, 115, 98, 86, 120)
(122, 60, 120, 85, 128, 103, 103, 127)
(139, 62, 119, 76, 142, 108, 97, 137)
(159, 64, 127, 88, 127, 107, 85, 140)
(220, 66, 97, 86, 129, 106, 94, 153)
(243, 85, 158, 112, 137, 119, 91, 139)
(263, 96, 177, 115, 137, 138, 78, 153)
(265, 95, 179, 114, 122, 144, 116, 151)
(260, 99, 178, 116, 116, 150, 123, 147)
(227, 96, 175, 108, 107, 175, 127, 136)
(275, 78, 123, 92, 91, 195, 133, 144)
(293, 89, 104, 100, 85, 200, 140, 173)
(314, 94, 102, 107, 80, 236, 190, 184)
