75,220,759,854,206,149,141,72,1
64,196,757,827,215,156,158,58,1
73,204,786,889,254,162,163,49,1
72,188,701,937,302,174,196,53,1
78,214,745,947,297,193,207,49,1
76,214,761,935,297,194,200,48,1
79,209,715,983,286,186,193,49,1
85,228,769,988,254,200,190,56,1
97,234,771,938,206,189,146,56,1
88,200,645,863,210,182,142,54,1
92,217,721,839,209,169,135,56,1
91,222,755,858,238,182,127,54,1
77,173,621,750,239,173,115,47,1
79,170,595,709,216,166,140,55,1
78,170,607,682,199,151,129,51,1
73,144,444,654,164,140,135,47,1
69,123,354,488,114,122,137,46,1
68,129,378,484,92,106,179,46,1
51,120,350,401,85,98,167,38,1
48,107,323,410,79,95,167,38,1
46,93,299,370,72,95,158,38,1
47,104,291,372,73,82,157,40,1
50,101,245,336,73,89,133,45,1
50,104,266,332,77,95,133,41,1
49,102,245,310,79,98,140,41,1
51,100,240,336,81,107,136,43,1
54,97,268,488,85,113,145,42,1
53,92,274,467,86,104,132,39,1
57,95,267,496,101,108,134,43,1
72,104,283,490,102,113,158,52,1
72,104,293,464,107,117,158,51,1
72,116,354,345,127,118,151,54,1
78,117,345,337,125,119,155,59,1
74,106,324,295,110,119,145,55,1
59,101,321,317,108,112,112,48,1
59,111,341,434,103,102,111,47,1
61,100,299,418,77,126,106,47,1
56,93,300,405,75,120,92,39,1
56,99,315,403,69,116,109,41,1
71,104,355,446,73,126,122,45,1
74,87,323,384,77,124,123,47,1
70,75,277,352,75,91,128,44,1
65,71,274,412,80,105,138,42,1
62,65,260,412,85,111,148,40,1
47,61,217,392,102,115,142,36,1
42,70,258,370,108,117,154,34,1
42,67,255,387,106,118,153,33,1
58,65,270,400,124,122,157,39,1
58,65,273,430,126,112,139,38,1
55,56,253,394,128,101,134,36,1
56,65,258,416,136,129,131,35,1
56,67,263,416,138,129,125,36,1
41,68,234,362,118,126,129,31,1
47,70,254,360,134,140,150,36,1
49,70,252,435,121,136,163,38,1
46,53,215,414,104,119,193,37,1
50,63,229,420,119,138,199,38,1
66,66,251,412,133,169,204,47,1
69,72,256,431,120,166,196,45,1
69,77,271,372,115,177,193,47,1
76,82,263,338,119,178,167,50,1
140,80,261,304,100,181,183,55,1
155,87,270,319,96,231,208,56,1
166,84,256,253,102,244,242,60,1
167,80,253,251,114,239,246,61,1
167,75,241,252,115,250,250,59,1
124,69,271,353,127,256,249,56,1
94,65,266,384,124,217,230,53,1
71,63,302,403,149,200,190,48,1
73,62,295,396,164,215,212,47,1
88,66,368,493,174,247,227,114,1
81,69,349,428,166,240,223,118,1
82,60,338,415,166,238,210,117,1
80,58,304,452,134,239,206,120,1
98,63,317,459,136,244,193,124,1
82,57,227,395,136,205,173,73,1
82,55,213,400,137,214,175,71,1
86,63,211,364,137,225,188,76,1
91,65,206,358,142,230,197,75,1
69,60,194,359,118,220,178,68,1
64,61,194,335,94,219,166,66,1
76,74,279,333,106,208,152,62,1
73,70,296,355,113,174,152,54,1
66,63,284,279,109,200,159,53,1
64,70,308,266,111,202,154,50,1
65,74,314,267,116,193,186,53,1
52,69,273,265,130,200,216,54,1
54,75,264,246,135,191,210,58,1
61,84,314,260,140,194,220,61,1
58,79,282,247,138,196,225,60,1
62,74,280,271,136,217,194,56,1
63,70,259,307,111,222,177,55,1
60,67,247,349,104,225,165,51,1
67,65,227,382,105,216,155,48,1
75,70,236,406,113,213,164,52,1
74,77,261,424,119,193,175,52,1
72,74,257,404,124,185,174,50,1
79,74,261,370,123,193,181,54,1
72,94,363,379,124,196,195,55,1
65,93,367,372,115,203,187,54,1
69,92,364,346,122,221,188,55,1
77,95,363,332,139,215,178,58,1
71,91,353,333,132,203,171,58,1
70,69,270,328,127,180,134,54,1
73,68,269,526,143,201,169,55,1
73,65,278,522,132,188,182,78,1
69,61,279,525,115,206,178,95,1
67,67,305,540,123,278,239,95,1
64,64,266,508,121,278,241,95,1
71,65,267,284,123,290,244,105,1
68,62,232,277,140,318,239,89,1
69,65,222,348,158,313,254,71,1
96,80,322,374,180,334,222,134,1
97,86,354,387,179,341,231,138,1
93,107,411,424,183,330,223,133,1
98,110,414,418,185,344,238,134,1
92,110,432,377,173,344,231,132,1
69,100,360,384,155,283,218,74,1
76,95,328,386,163,351,218,72,1
70,69,247,331,144,338,219,68,1
60,65,268,366,126,305,199,61,1
69,66,287,411,123,324,219,63,1
68,69,294,369,132,364,220,54,1
65,72,303,378,130,337,253,56,1
99,91,385,443,134,375,252,87,1
106,95,371,407,142,372,254,96,1
104,98,377,472,140,372,251,102,1
106,100,385,481,118,334,252,105,1
118,100,403,530,123,327,220,113,1
96,84,367,494,142,312,225,92,1
95,97,426,575,151,349,247,114,1
102,97,393,497,161,382,270,123,1
113,96,400,500,173,375,270,127,1
100,97,390,447,170,405,265,116,1
104,125,446,459,153,390,247,135,1
119,137,534,426,152,366,235,119,1
124,140,548,507,172,335,242,107,1
122,143,562,513,159,370,267,107,1
124,141,563,553,208,319,306,119,1
128,164,598,591,217,317,306,111,1
121,152,526,596,217,321,308,130,1
129,146,516,523,201,330,268,140,1
127,142,480,572,207,324,280,155,1
125,148,488,553,176,360,260,163,1
119,112,431,527,187,381,266,159,1
129,109,422,486,182,387,268,142,1
111,107,428,521,227,382,268,141,1
106,107,447,476,228,355,234,128,1
114,96,426,492,216,347,246,115,1
115,76,374,487,239,365,245,107,1
108,72,346,491,235,364,235,106,1
113,73,374,486,194,366,264,112,1
117,68,368,450,210,383,281,111,1
106,72,377,457,209,343,289,100,1
101,80,406,508,159,323,318,106,1
98,83,391,504,165,324,321,109,1
86,89,412,488,178,312,328,85,1
79,100,447,508,164,299,307,75,1
95,122,513,458,164,302,270,75,1
98,120,478,381,164,274,228,66,1
89,122,485,435,181,269,221,50,1
101,129,495,419,170,258,184,61,1
98,127,476,455,165,278,181,61,1
93,115,438,483,181,269,226,74,1
93,111,454,496,201,281,235,80,1
91,109,449,431,196,269,230,83,1
81,98,410,551,192,280,214,78,1
79,93,388,547,197,248,211,74,1
66,79,336,522,198,250,167,65,1
83,126,492,521,201,240,174,56,1
78,125,487,512,187,247,190,52,1
77,131,500,391,193,227,208,59,1
